metal_fraction,porosity_fraction,n_components,specimen_area,z_index,build_z_um,approx_layer
0.3091902373745622,0.0002230260273937486,2,390089,160,-439.19098,-10.979774
0.3091957868433195,0.0002614606937423741,1,390116,161,-437.1885,-10.929712
0.30917121062453723,0.00021022299019130293,4,390062,162,-435.186,-10.87965
0.3091426704994997,0.00015384457595306715,4,390004,163,-433.1835,-10.829588
0.30910937368695607,0.00017950144755095917,5,389969,164,-431.181,-10.779525
0.30912285096822373,0.00018462295889062116,2,389984,165,-429.1785,-10.729463
0.30909113971818214,0.000182077426502267,7,389944,166,-427.176,-10.6793995
0.3090189966243374,0.00017186185385073156,7,389848,167,-425.1735,-10.629337
0.3089460607492417,0.00015907469839950328,5,389754,168,-423.171,-10.579275
0.30890562890543866,0.0001180431524706945,4,389688,169,-421.1685,-10.529212
0.30890404334293653,0.00010008109134580839,2,389684,170,-419.166,-10.47915
0.30890404334293653,5.389230777127078e-05,2,389666,171,-417.16348,-10.429087
0.3089500246554969,5.3884702133064425e-05,2,389721,172,-415.16098,-10.3790245
0.30906577071814884,9.746388706500328e-05,1,389888,173,-413.1585,-10.328962
0.30923859703087564,8.459347707388599e-05,1,390101,174,-411.156,-10.2789
0.30939081103107546,9.736175271652101e-05,2,390297,175,-409.1535,-10.228838
0.30948118809369407,0.00010245586713523149,2,390412,176,-407.151,-10.178775
0.309597726937597,3.8409636209532245e-05,4,390527,177,-405.1485,-10.128713
0.3096302309688897,6.400819304871024e-05,5,390575,178,-403.146,-10.0786495
0.309675419500199,6.399803398039613e-05,4,390637,179,-401.1435,-10.028587
0.3096849328752115,9.727128449290944e-05,4,390660,180,-399.141,-9.978525
0.3097285358440187,7.422365891925234e-05,2,390711,181,-397.1385,-9.928462
0.30973408531277596,5.6307459202686375e-05,3,390712,182,-395.136,-9.8784
0.30973487809402706,6.142553305845407e-05,2,390717,183,-393.13348,-9.828337
0.30979195834410195,6.14143730104302e-05,3,390788,184,-391.13098,-9.778275
0.30981970568788836,3.5823034210997674e-05,2,390810,185,-389.12848,-9.728212
0.3098458674691727,4.3494835627899125e-05,1,390851,186,-387.126,-9.67815
0.3098839209692226,5.3721767292653164e-05,1,390903,187,-385.1235,-9.628088
0.3099417940005486,3.836739078722212e-05,2,390957,188,-383.121,-9.578025
0.3100194865631506,3.5802147105907866e-05,3,391038,189,-381.1185,-9.527963
0.3100900440944932,2.556779684851336e-05,5,391117,190,-379.116,-9.4779
0.3101827995008649,3.322836577785048e-05,3,391232,191,-377.1135,-9.427837
0.3102454292196971,2.55536191590815e-05,3,391334,192,-375.111,-9.377775
0.3102858610635002,1.2775405810765578e-05,4,391377,193,-373.1085,-9.327712
0.31034769800108136,3.8317406064879034e-05,5,391467,194,-371.106,-9.27765
0.31044996678246556,3.5750948676959534e-05,3,391598,195,-369.1035,-9.227587
0.3105926674076529,2.552472452441057e-05,3,391777,196,-367.10098,-9.177525
0.3106616393764934,4.8484353588735296e-05,2,391879,197,-365.09848,-9.127462
0.31073140412658495,2.551287251982988e-05,2,391959,198,-363.09598,-9.077399
0.31073853915784433,3.061450974689454e-05,2,391971,199,-361.0935,-9.027338
0.3106878011577777,2.296474911011597e-05,1,391905,200,-359.091,-8.977275
0.3106402342827153,2.5520229886230816e-05,1,391846,201,-357.0885,-8.927213
0.310614865282682,3.5731148628817174e-05,2,391815,202,-355.086,-8.87715
0.3106227930951924,2.5521662787373922e-05,1,391824,203,-353.0835,-8.827087
0.31065291878273193,2.807110666510149e-05,2,391862,204,-351.081,-8.777025
0.3106552971264851,7.655971274795777e-06,3,391851,205,-349.0785,-8.726962
0.31071237737656,5.1029650778584894e-06,1,391929,206,-347.076,-8.6769
0.3107924482829151,2.5507796457987383e-05,2,392037,207,-345.0735,-8.626837
0.31079165550166404,3.826149949367282e-05,3,392039,208,-343.07098,-8.576775
0.310790862720413,4.3362590328101766e-05,1,392043,209,-341.06848,-8.526712
0.3107726287516391,2.0407642662176984e-05,2,392010,210,-339.06598,-8.476649
0.31075915147037136,4.591789879695105e-05,1,392004,211,-337.06348,-8.426587
0.31069572897028813,2.8067167282868568e-05,1,391917,212,-335.061,-8.376525
0.3107084134703048,1.7860423343063013e-05,2,391928,213,-333.0585,-8.326463
0.3108059255641828,5.101429165380682e-06,1,392047,214,-331.056,-8.2764
0.3108558707829983,1.0201167013506345e-05,1,392112,215,-329.0535,-8.226337
0.31093752725185553,3.0594840180203607e-05,1,392223,216,-327.051,-8.176275
0.31097558075190546,2.8041909908991257e-05,1,392270,217,-325.0485,-8.126212
0.3110144270332064,2.0391725037979587e-05,1,392316,218,-323.046,-8.07615
0.31102235484571683,3.5684154451215935e-05,2,392331,219,-321.0435,-8.026087
0.3110802278770428,1.274222978827511e-05,1,392396,220,-319.041,-7.9760246
0.3111055968770761,3.5675061348364424e-05,2,392431,221,-317.03848,-7.925962
0.3110802278770428,1.5290675745930133e-05,2,392396,222,-315.03598,-7.8758993
0.311064372252022,2.548556370244075e-05,3,392379,223,-313.03348,-7.825837
0.3110469310644991,2.0389594170615027e-05,1,392357,224,-311.031,-7.775775
0.310947040626868,1.784671709639012e-05,2,392229,225,-309.0285,-7.725713
0.3107226835328235,3.316783434452705e-05,4,391946,226,-307.026,-7.67565
0.3106552971264851,5.8693233435748774e-05,4,391868,227,-305.0235,-7.6255875
0.31069969287654337,3.572239615627018e-05,5,391911,228,-303.021,-7.575525
0.310595045751406,8.42260013323022e-05,4,391803,229,-301.0185,-7.525462
0.3106323064702049,1.2761091941115217e-05,10,391816,230,-299.016,-7.4754
0.310770250407886,2.2958773695367684e-05,3,392007,231,-297.0135,-7.4253373
0.31103583212698455,7.645980890145096e-05,3,392363,232,-295.011,-7.3752747
0.31116584825215515,3.3120850339616105e-05,2,392502,233,-293.00848,-7.325212
0.3112102440022134,2.8020980071988446e-05,3,392563,234,-291.00598,-7.2751493
0.3112387841272509,2.547173656111179e-06,1,392592,235,-289.00348,-7.225087
0.31130458497108726,5.093257545661054e-06,1,392676,236,-287.00098,-7.1750245
0.311377520846183,1.782199896632406e-05,1,392773,237,-284.9985,-7.124963
0.3114591773150402,5.090548124769334e-05,3,392885,238,-282.996,-7.0749
0.31148296075257137,2.290641710549423e-05,4,392903,239,-280.9935,-7.0248375
0.3115202214713703,7.634597962071317e-06,2,392948,240,-278.991,-6.974775
0.31155510384641605,2.035633769128596e-05,1,392998,241,-276.9885,-6.924712
0.31150991531510674,2.2904201903084688e-05,2,392941,242,-274.986,-6.87465
0.31149247412758385,2.0360430521303372e-05,1,392919,243,-272.9835,-6.8245873
0.31150753697135364,2.0359497832985948e-05,2,392937,244,-270.981,-6.7745247
0.31150357306509846,4.580875354381607e-05,3,392938,245,-268.9785,-6.724462
0.31156065331517335,5.5977507219826215e-05,4,393015,246,-266.97598,-6.6743994
0.31165578706529823,2.2893423482547582e-05,1,393126,247,-264.97348,-6.624337
0.3117414074404106,2.543053902570519e-05,3,393228,248,-262.97098,-6.5742745
0.311730308502896,4.068958677181534e-05,4,393221,249,-260.96848,-6.524212
0.3117358579716533,5.086211281216621e-06,1,393220,250,-258.966,-6.47415
0.3118103794092511,3.8136207277913795e-05,1,393327,251,-256.9635,-6.4240875
0.3118627029718198,2.033646684393287e-05,3,393382,252,-254.961,-6.374025
0.31183257728428027,1.0169215750081353e-05,1,393344,253,-252.9585,-6.323962
0.31175409194042725,2.034339653348523e-05,2,393248,254,-250.956,-6.2739
0.3117128673153731,7.120822556731339e-05,2,393213,255,-248.95349,-6.2238374
0.31163358919026907,6.359559307978194e-05,2,393109,256,-246.95099,-6.1737747
0.3115844367527046,2.544309143738201e-05,3,393034,257,-244.94849,-6.123712
0.3115876078777087,2.035478388308212e-05,2,393028,258,-242.94598,-6.0736494
0.31168908387784194,3.306785778786206e-05,5,393131,259,-240.94348,-6.023587
0.31185239681555627,2.0339413970634972e-05,4,393325,260,-238.94098,-5.9735246
0.3119998541282498,0.00018037655511265912,2,393621,261,-236.93848,-5.923462
0.3121496897846965,0.00010919941591010095,2,393775,262,-234.93597,-5.8733993
0.31227653478486295,5.8389565023127345e-05,2,393906,263,-232.93347,-5.8233366
