layer,local_tam_p90,local_tam_mean,local_scr_mean,local_scr_std_spatial,n_valid_pixels
35,0.0015571234980598092,0.0009038690477609634,850570.0625,2049441.625,2725
36,0.0017738216556608677,0.0009672373998910189,1008548.9375,1976449.5,2633
37,0.0013976641930639744,0.0008611941593699157,765998.625,2094570.375,2454
38,0.002104327082633972,0.00119827501475811,979672.375,2395843.5,2466
39,0.0015425384044647217,0.0008953044889494777,1488670.75,3131617.25,2817
40,0.0017368278931826353,0.0009360193507745862,1201690.75,2587278.5,2579
41,0.0013367682695388794,0.0007975276093930006,1435646.0,3146701.25,2570
42,0.0019246041774749756,0.0011606523767113686,868657.125,2247681.75,2433
43,0.001684814691543579,0.0010091905714944005,944580.0625,2533608.25,2566
44,0.0017079971730709076,0.0009402708383277059,1091385.625,2334435.0,2461
45,0.0014195955591276288,0.0008199758594855666,1283503.625,2767657.5,2604
46,0.0020403265953063965,0.001107090269215405,1416753.75,3020209.75,2541
47,0.001686185598373413,0.0010160653619095683,1035187.6875,2578534.5,2611
48,0.0017316676676273346,0.0009040419245138764,1853233.5,3494304.0,2676
49,0.0014471731847152114,0.0008186209015548229,1498870.0,3041059.75,2733
50,0.002248697215691209,0.0012674289755523205,805421.875,1979101.75,2488
51,0.0018208351684734225,0.001071656821295619,974173.6875,2543911.0,2650
52,0.0017384663224220276,0.0009300875826738775,922146.0625,1841036.0,2566
53,0.0014121811836957932,0.0008628631476312876,1058955.125,2536571.25,2574
54,0.002159133553504944,0.0010811047395691276,1633463.0,3138293.25,2881
55,0.0017800627974793315,0.0010790203232318163,687218.5625,1938825.0,2775
56,0.001789791975170374,0.0010147540597245097,902761.6875,1957877.125,2650
57,0.0014028558507561684,0.0008649592637084424,817339.9375,2094266.25,2666
58,0.002038614358752966,0.0011335808085277677,603708.25,1214794.75,2872
59,0.001711060875095427,0.0009924598271027207,1017944.3125,2417143.75,2600
60,0.0017689744709059596,0.0010286367032676935,1015649.1875,2454684.25,2742
61,0.001324028824456036,0.0007852885173633695,1227291.25,2623529.0,2757
62,0.002225362928584218,0.0013350630179047585,614754.1875,1728320.25,2547
63,0.0017470866441726685,0.0009967010701075196,1143014.25,2621687.0,2926
64,0.0019246782176196575,0.0011481255060061812,770982.9375,2012755.125,2922
65,0.0013434643624350429,0.0008210867526941001,786185.6875,1781700.75,2772
66,0.0022810460068285465,0.0013605972053483129,523409.90625,1218011.75,2703
67,0.001644009375013411,0.000934841635171324,1124280.25,2609419.75,3117
68,0.0019610943272709846,0.0011950935004279017,780372.0625,2137870.75,2920
69,0.0013587928842753172,0.0008284755167551339,777485.8125,1732113.0,2994
70,0.00212116539478302,0.0013071991270408034,587576.0625,1441373.5,2585
71,0.0017708569066599011,0.0010042611975222826,1017619.75,2483727.75,2334
72,0.0016494813608005643,0.0008741821511648595,1724249.25,3368277.0,2547
73,0.0013140039518475533,0.0008037177030928433,1335955.25,2771513.75,2110
74,0.002032895339652896,0.0011905621504411101,542078.6875,1414846.75,2064
75,0.0016368686920031905,0.0009176421444863081,955509.875,2256850.0,2294
76,0.0017885863780975342,0.0010232668137177825,1369253.0,3053728.75,2244
77,0.0014008075231686234,0.0008345276582986116,1368435.25,2918325.25,2133
78,0.00198687007650733,0.0011857333593070507,684241.8125,1978380.375,2042
79,0.0017813622253015637,0.0010038608452305198,1036408.5,2540609.25,2123
80,0.0018127277726307511,0.0009361814009025693,1691778.0,3349098.5,2523
81,0.00134335458278656,0.0007473366567865014,1429964.125,2904404.5,2621
82,0.0023531049955636263,0.001520285615697503,405765.25,1466721.75,2019
83,0.0017820238135755062,0.0010053478181362152,990856.9375,2466726.5,2407
84,0.0016920946072787046,0.0009726316784508526,857955.6875,2018205.25,2279
85,0.0013412073021754622,0.000737857713829726,1388233.25,2894697.25,2754
86,0.0019541322253644466,0.001086960663087666,949638.3125,2202904.5,2359
87,0.0016035796143114567,0.0009369653998874128,956876.1875,2432011.75,2453
88,0.001761732273735106,0.0009881932055577636,1143020.25,2494253.5,2318
89,0.00140256283339113,0.0008051528129726648,1538910.125,3246108.25,2624
90,0.0020567625761032104,0.0011255197459831834,1070103.25,2443179.0,2421
91,0.0017528238240629435,0.0010282357688993216,875451.75,2279729.0,2443
92,0.0018430667696520686,0.0010341013548895717,981649.375,2197515.25,2392
